2023-11-22 17:58:53.239288
dependency,source,is_git_supported
httpretty,https://github.com/gabrielfalcao/httpretty,True
gitpython,https://github.com/gitpython-developers/GitPython,True
pep257,https://github.com/GreenSteam/pep257,True
pytzdata,https://github.com/sdispater/pytzdata,True
testfixtures,https://github.com/Simplistix/testfixtures,True
cryptography,https://github.com/pyca/cryptography,True
pydantic,https://github.com/sponsors/samuelcolvin,True
pgpy,https://github.com/SecurityInnovation/PGPy,True
contentful,https://github.com/contentful/contentful.py,True
ordered-set,https://github.com/rspeer/ordered-set,True
inflection,https://github.com/jpvanhal/inflection,True
ua-parser,https://github.com/ua-parser/uap-python,True
edx-opaque-keys,https://github.com/openedx/opaque-keys,True
django-filter,https://github.com/carltongibson/django-filter,True
atomicwrites,https://github.com/untitaker/python-atomicwrites,True
openedx-ledger,https://github.com/openedx/openedx-ledger,True
build,https://github.com/pypa/build,True
restructuredtext-lint,https://github.com/twolfson/restructuredtext-lint,True
types-setuptools,https://github.com/python/typeshed,True
django-environ,https://github.com/joke2k/django-environ,True
pytest-flakes,https://github.com/asmeurer/pytest-flakes,True
pyseeyou,https://github.com/rolepoint/pyseeyou,True
edx-toggles,https://github.com/openedx/edx-toggles,True
pybase64,https://github.com/mayeut/pybase64,True
pytest-repeat,https://github.com/pytest-dev/pytest-repeat,True
edx-enterprise,https://github.com/openedx/edx-enterprise,True
zeep,https://github.com/mvantellingen/python-zeep,True
hologram,https://github.com/fishtown-analytics/hologram,True
uvicorn,https://github.com/encode/uvicorn,True
rich,https://github.com/Textualize/rich,True
setuptools,https://github.com/pypa/setuptools,True
locket,http://github.com/mwilliamson/locket.py,True
xblock-sdk,No Github Link in Release History,False
django-classy-tags,https://github.com/django-cms/django-classy-tags,True
jinja2,https://github.com/pallets/jinja,True
smmap,https://github.com/gitpython-developers/smmap,True
sailthru-client,https://github.com/sailthru/sailthru-python-client,True
openedx-calc,https://github.com/edx/openedx-calc,True
flake8,https://github.com/pycqa/flake8,True
asyncio-extras,https://github.com/agronholm/asyncio_extras,True
drf-yasg,https://github.com/axnsan12/drf-yasg,True
python-cjson,https://github.com/AGProjects/python-cjson,True
webtest,No Github Link,False
traceback2,https://github.com/testing-cabal/traceback2,True
olxcleaner,https://github.com/openedx/olxcleaner,True
click-log,https://github.com/click-contrib/click-log,True
logging-tree,https://github.com/brandon-rhodes/logging_tree,True
grpcio-status,No Github Link,False
django-elasticsearch-dsl,https://github.com/sabricot/django-elasticsearch-dsl,True
aws-sam-translator,https://github.com/awslabs/serverless-application-model,True
html5lib,https://github.com/html5lib/html5lib-python,True
babel,https://github.com/python-babel/babel,True
pytest-timeout,https://github.com/pytest-dev/pytest-timeout,True
django-sekizai,https://github.com/django-cms/django-sekizai,True
pyflakes,https://github.com/PyCQA/pyflakes,True
dbt-snowflake,https://github.com/dbt-labs/dbt-snowflake,True
openapi-spec-validator,https://github.com/python-openapi/openapi-spec-validator,True
python-crontab,https://gitlab.com/doctormo/python-crontab,True
entrypoints,https://github.com/takluyver/entrypoints,True
waitress,https://github.com/Pylons/waitress,True
pytest-html,https://github.com/pytest-dev/pytest-html,True
asgiref,https://github.com/django/asgiref,True
sphinx-rtd-theme,https://github.com/readthedocs/sphinx_rtd_theme,True
confluent-kafka,https://github.com/confluentinc/confluent-kafka-python,True
pact-python,https://github.com/pact-foundation-pact-python,True
google-auth-httplib2,https://github.com/GoogleCloudPlatform/google-auth-library-python-httplib2,True
markey,http://github.com/EnTeQuAk/markey,True
pandas,https://github.com/pandas-dev/pandas,True
urllib3,https://github.com/urllib3/urllib3,True
paypalrestsdk,https://github.com/paypal/PayPal-Python-SDK,True
py-partiql-parser,https://github.com/getmoto/py-partiql-parser,True
django-localflavor,https://github.com/django/django-localflavor,True
ruamel-yaml-cmd,https://sourceforge.net/p/ruamel-yaml-cmd/code/ci/default/tree,True
rstcheck-core,https://github.com/rstcheck/rstcheck-core,True
snowballstemmer,https://github.com/snowballstem/snowball,True
algoliasearch,https://github.com/algolia/algoliasearch-client-python,True
pyproject-hooks,https://github.com/pypa/pyproject-hooks,True
coverage,https://github.com/nedbat/coveragepy,True
django-ipware,https://github.com/un33k/django-ipware,True
toolz,https://github.com/pytoolz/toolz,True
edx-sga,https://github.com/mitodl/edx-sga,True
backports.functools-lru-cache,https://github.com/jaraco/backports.functools_lru_cache,True
edx-event-bus-redis,https://github.com/openedx/event-bus-redis,True
requests-toolbelt,https://github.com/requests/toolbelt,True
django-method-override,https://gitlab.com/localmed/django-method-override,True
markdown-it-py,https://github.com/executablebooks/markdown-it-py,True
appium-python-client,No Github Link,False
matplotlib,https://github.com/matplotlib/matplotlib,True
sphinxcontrib-napoleon,No Github Link,False
stevedore,No Github Link,False
pexpect,No Github Link,False
parsedatetime,https://github.com/bear/parsedatetime,True
ruamel-yaml-base,https://sourceforge.net/p/ruamel-yaml-base/code/ci/default/tree,True
extras,https://github.com/testing-cabal/extras,True
pytest-pycodestyle,https://github.com/henry0312/pytest-pycodestyle,True
partd,http://github.com/dask/partd,True
configobj,https://github.com/DiffSK/configobj,True
genanki,http://github.com/kerrickstaley/genanki,True
acid-xblock,https://github.com/edx/acid-block,True
django-storages,https://github.com/jschneier/django-storages,True
openedx-django-pyfs,https://github.com/openedx/django-pyfs,True
filelock,https://github.com/tox-dev/py-filelock,True
xblock-utils,https://github.com/openedx/xblock-utils,True
celery,https://github.com/celery/celery,True
funcsigs,No Github Link,False
parso,https://github.com/davidhalter/parso,True
coveralls,http://github.com/TheKevJames/coveralls-python,True
distlib,https://github.com/pypa/distlib,True
django-guardian,https://github.com/django-guardian/django-guardian,True
prefect,https://github.com/PrefectHQ/prefect,True
web-fragments,https://github.com/openedx/web-fragments,True
frozendict,https://github.com/Marco-Sulla/python-frozendict,True
pytest-randomly,https://github.com/pytest-dev/pytest-randomly,True
premailer,http://github.com/peterbe/premailer,True
pyhcl,https://github.com/virtuald/pyhcl,True
asttokens,https://github.com/gristlabs/asttokens,True
rjsmin,No Github Link,False
semantic-version,https://github.com/rbarrois/python-semanticversion,True
pygeoip,https://github.com/appliedsec/pygeoip,True
pylint-plugin-utils,https://github.com/PyCQA/pylint-plugin-utils,True
xblock-drag-and-drop-v2,https://github.com/openedx/xblock-drag-and-drop-v2,True
opsgenie-sdk,https://github.com/opsgenie/opsgenie-python-sdk,True
edx-event-bus-kafka,https://github.com/openedx/event-bus-kafka,True
google-auth,https://github.com/googleapis/google-auth-library-python,True
rq,https://github.com/nvie/rq,True
django-tables2,https://github.com/jieter/django-tables2,True
mock,https://github.com/testing-cabal/mock,True
backports.entry-points-selectable,https://github.com/jaraco/backports.entry_points_selectable,True
sphinx-design,https://github.com/executablebooks/sphinx-design,True
astroid,https://github.com/pylint-dev/astroid,True
google-cloud-core,https://github.com/googleapis/python-cloud-core,True
mechanize,https://github.com/python-mechanize/mechanize,True
jinja2-time,https://github.com/hackebrot/jinja2-time,True
drf-spectacular,https://github.com/tfranzel/drf-spectacular,True
execnet,No Github Link,False
crypto,https://github.com/chrissimpkins/crypto,True
apache-libcloud,https://github.com/apache/libcloud,True
pyjwt,https://github.com/jpadilla/pyjwt,True
needle,https://github.com/python-needle/needle,True
dogstatsd-python,No Github Link,False
face,https://github.com/mahmoud/face,True
pytest-pep8,https://bitbucket.org/pytest-dev/pytest-pep8,True
django-parler,https://github.com/edoburu/django-parler,True
django-treebeard,https://github.com/django-treebeard/django-treebeard,True
enmerkar,https://github.com/Zegocover/enmerkar,True
types-cachetools,https://github.com/python/typeshed,True
mypy,https://github.com/python/mypy,True
appdirs,http://github.com/ActiveState/appdirs,True
docutils,No Github Link,False
pyrsistent,https://github.com/tobgu/pyrsistent,True
jsx-lexer,https://github.com/fcurella/jsx-lexer,True
scandir,https://github.com/benhoyt/scandir,True
ptvsd,No Github Link,False
django-js-asset,https://github.com/matthiask/django-js-asset,True
pycares,http://github.com/saghul/pycares,True
django-webtest,https://github.com/django-webtest/django-webtest,True
cfn-flip,https://github.com/awslabs/aws-cfn-template-flip,True
boto3,https://github.com/boto/boto3,True
staff-graded-xblock,https://github.com/openedx/staff_graded-xblock,True
django-contrib-comments,https://github.com/django/django-contrib-comments,True
webvtt-py,https://github.com/glut23/webvtt-py,True
jsonpatch,https://github.com/stefankoegl/python-json-patch,True
django-sortedm2m,https://github.com/jazzband/django-sortedm2m,True
django-cors-headers,https://github.com/adamchainz/django-cors-headers,True
pyparsing,https://github.com/pyparsing/pyparsing,True
path.py,https://github.com/jaraco/path,True
social-auth-app-django,https://github.com/python-social-auth/social-app-django,True
google-cloud-storage,https://github.com/googleapis/python-storage,True
path,https://github.com/jaraco/path,True
jsonpickle,https://github.com/jsonpickle/jsonpickle,True
django-libsass,https://github.com/torchbox/django-libsass,True
pysrt,https://github.com/byroot/pysrt,True
pynliner,No Github Link in Release History,False
graphitesend,https://github.com/daniellawrence/graphitesend,True
laboratory,https://github.com/joealcorn/laboratory,True
cssselect2,https://github.com/Kozea/cssselect2,True
icalendar,https://github.com/collective/icalendar,True
phonenumbers,https://github.com/daviddrysdale/python-phonenumbers,True
avro,No Github Link,False
tabulate,https://github.com/astanin/python-tabulate,True
referencing,https://github.com/sponsors/Julian,True
loremipsum,No Github Link,False
sphinxcontrib-jsmath,No Github Link,False
itypes,http://github.com/PavanTatikonda/itypes,True
drf-extensions,http://github.com/chibisov/drf-extensions,True
django-pyfs,https://github.com/edx/django-pyfs,True
cached-property,https://github.com/pydanny/cached-property,True
wsgi-request-logger,https://github.com/pklaus/wsgi-request-logger,True
et-xmlfile,https://foss.heptapod.net/openpyxl/et_xmlfile,False
tqdm,https://github.com/tqdm/tqdm,True
edx-lint,https://github.com/openedx/edx-lint,True
jasmine,No Github Link,False
sphinxcontrib-httpdomain,https://github.com/sphinx-contrib/httpdomain,True
edx-bulk-grades,https://github.com/openedx/edx-bulk-grades,True
pylti1p3,https://github.com/dmitry-viskov/pylti1.3,True
singledispatch,https://github.com/jaraco/singledispatch,True
django-phonenumber-field,https://github.com/stefanfoulis/django-phonenumber-field,True
mailsnake,https://github.com/michaelhelmick/python-mailsnake,True
tomlkit,https://github.com/sdispater/tomlkit,True
argparse,https://github.com/ThomasWaldmann/argparse,True
cloudpickle,https://github.com/cloudpipe/cloudpickle,True
backports-csv,https://github.com/ryanhiebert/backports.csv,True
rfc3986,No Github Link,False
django-admin-sortable2,https://github.com/jrief/django-admin-sortable2,True
pathlib2,https://github.com/jazzband/pathlib2,True
ora2,http://github.com/openedx/edx-ora2,True
jeepney,https://gitlab.com/takluyver/jeepney,True
jsondiff,https://github.com/ZoomerAnalytics/jsondiff,True
pycodestyle,No Github Link,False
python-swiftclient,https://opendev.org/openstack/python-swiftclient,False
pillow-heif,https://github.com/bigcat88/pillow_heif,True
zappa-manage,https://github.com/edx/zappa-manage,True
diff-cover,https://github.com/Bachmann1234/diff-cover,True
pyinstaller,https://github.com/pyinstaller/pyinstaller,True
volatile,https://github.com/mbr/volatile,True
unittest2,No Github Link,False
pycryptodome,https://github.com/Legrandin/pycryptodome,True
aniso8601,https://bitbucket.org/nielsenb/aniso8601,True
pytest-responses,https://github.com/getsentry/pytest-responses,True
bcrypt,https://github.com/pyca/bcrypt,True
xlsxwriter,https://github.com/jmcnamara/XlsxWriter,True
super-csv,https://github.com/openedx/super-csv,True
qrcode,https://github.com/lincolnloop/python-qrcode,True
drf-jwt,https://github.com/Styria-Digital/django-rest-framework-jwt,True
django-simple-history,https://github.com/jazzband/django-simple-history,True
watchdog,https://github.com/gorakhargosh/watchdog,True
httmock,https://github.com/patrys/httmock,True
pytest-forked,https://github.com/pytest-dev/pytest-forked,True
crispy-bootstrap3,https://github.com/django-crispy-forms/crispy-bootstrap3,True
tox,https://github.com/tox-dev/tox,True
flask-sslify,https://github.com/kennethreitz/flask-sslify,True
parsimonious,https://github.com/erikrose/parsimonious,True
boto,https://github.com/boto/boto,True
gspread,https://github.com/burnash/gspread,True
types-pyyaml,https://github.com/python/typeshed,True
scriv,https://github.com/nedbat/scriv,True
