2023-11-23 17:20:33.438736
dependency,source,is_git_supported
enum34,https://bitbucket.org/stoneleaf/enum34,True
django-sekizai,https://github.com/django-cms/django-sekizai,True
import-linter,https://github.com/seddonym/import-linter,True
google-crc32c,https://github.com/googleapis/python-crc32c,True
troposphere,https://github.com/cloudtools/troposphere,True
validators,https://github.com/python-validators/validators,True
zipp,https://github.com/jaraco/zipp,True
python-jose,http://github.com/mpdavis/python-jose,True
sphinxcontrib-applehelp,https://github.com/sphinx-doc/sphinx,True
edx-enterprise-subsidy-client,https://github.com/openedx/edx-enterprise-subsidy-client,True
sqlparse,https://github.com/andialbrecht/sqlparse,True
app-store-notifications-v2-validator,https://github.com/rickwierenga/app-store-notifications-v2-validator,True
pywatchman,https://github.com/facebook/watchman,True
olxcleaner,https://github.com/openedx/olxcleaner,True
django-oscar,https://github.com/django-oscar/django-oscar,True
sphinxcontrib-jquery,https://github.com/sphinx-contrib/jquery,True
pytest-metadata,https://github.com/pytest-dev/pytest-metadata,True
django-timezone-field,https://github.com/mfogel/django-timezone-field,True
clickhouse-connect,https://github.com/ClickHouse/clickhouse-connect,True
backports-functools-lru-cache,https://github.com/jaraco/backports.functools_lru_cache,True
chevron,https://github.com/noahmorrison/chevron,True
zict,https://github.com/dask/zict,True
zeep,https://github.com/mvantellingen/python-zeep,True
lz4,https://github.com/python-lz4/python-lz4,True
wrapt,https://github.com/GrahamDumpleton/wrapt,True
httpcore,https://github.com/encode/httpcore,True
pathlib2,https://github.com/jazzband/pathlib2,True
google-auth-oauthlib,https://github.com/GoogleCloudPlatform/google-auth-library-python-oauthlib,True
super-csv,https://github.com/openedx/super-csv,True
edx-django-release-util,http://github.com/openedx/edx-django-release-util,True
xblock-google-drive,https://github.com/openedx/xblock-google-drive,True
loremipsum,https://github.com/monkeython/loremipsum,True
luigi,https://github.com/spotify/luigi,True
asyncio-extras,https://github.com/agronholm/asyncio_extras,True
edx-django-sites-extensions,https://github.com/openedx/edx-django-sites-extensions,True
edx-rest-api-client,https://github.com/openedx/edx-rest-api-client,True
alabaster,https://github.com/bitprophet/alabaster,True
markdown-it-py,https://github.com/executablebooks/markdown-it-py,True
anyascii,https://github.com/anyascii/anyascii,True
typing-extensions,https://github.com/python/typing,True
sphinxcontrib-openapi,https://github.com/sphinx-contrib/openapi,True
gevent,https://github.com/gevent/gevent,True
python-cjson,https://github.com/AGProjects/python-cjson,True
networkx,https://github.com/networkx/networkx,True
appdirs,http://github.com/ActiveState/appdirs,True
piexif,https://github.com/hMatoba/Piexif,True
locket,http://github.com/mwilliamson/locket.py,True
azure-nspkg,https://github.com/Azure/azure-sdk-for-python,True
ansible-core,https://github.com/ansible/ansible,True
charset-normalizer,https://github.com/Ousret/charset_normalizer,True
django-ipware,https://github.com/un33k/django-ipware,True
fasteners,https://github.com/harlowja/fasteners,True
edx-enterprise,https://github.com/openedx/edx-enterprise,True
xblock-utils,https://github.com/openedx/xblock-utils,True
graphql-core,https://github.com/graphql-python/graphql-core,True
jasmine-core,https://github.com/jasmine/jasmine,True
jsonlines,https://github.com/wbolster/jsonlines,True
pymysql,https://github.com/PyMySQL/PyMySQL,True
genanki,http://github.com/kerrickstaley/genanki,True
xblock-sdk,https://github.com/openedx/xblock-sdk,True
httplib2,https://github.com/httplib2/httplib2,True
types-urllib3,https://github.com/python/typeshed,True
django-solo,https://github.com/lazybird/django-solo,True
avro,https://github.com/apache/avro,True
crypto,https://github.com/chrissimpkins/crypto,True
pytest-pep8,https://bitbucket.org/pytest-dev/pytest-pep8,True
mysqlclient,https://github.com/PyMySQL/mysqlclient,True
python-subunit,https://github.com/testing-cabal/subunit,True
python-lsp-jsonrpc,https://github.com/python-lsp/python-lsp-jsonrpc,True
google-cloud-secret-manager,https://github.com/googleapis/google-cloud-python,True
diff-cover,https://github.com/Bachmann1234/diff-cover,True
rstcheck,https://github.com/rstcheck/rstcheck,True
sailthru-client,https://github.com/sailthru/sailthru-python-client,True
pudb,https://github.com/inducer/pudb,True
sorl-thumbnail,https://github.com/jazzband/sorl-thumbnail,True
mypy,https://github.com/python/mypy,True
sphinxcontrib-qthelp,https://github.com/sphinx-doc/sphinxcontrib-qthelp,True
aws-sam-translator,https://github.com/awslabs/serverless-application-model,True
pylatexenc,https://github.com/phfaist/pylatexenc,True
jira,https://github.com/pycontribs/jira.git,True
frozendict,https://github.com/Marco-Sulla/python-frozendict,True
pytest-repeat,https://github.com/pytest-dev/pytest-repeat,True
pillow-heif,https://github.com/bigcat88/pillow_heif,True
click-option-group,https://github.com/click-contrib/click-option-group,True
mako,https://github.com/sqlalchemy/mako,True
pytest-cov,https://github.com/pytest-dev/pytest-cov,True
cfn-lint,https://github.com/aws-cloudformation/cfn-python-lint,True
pycryptodome,https://github.com/Legrandin/pycryptodome,True
html5lib,https://github.com/html5lib/html5lib-python,True
edx-tincan-py35,https://github.com/RusticiSoftware/TinCanPython,True
cachecontrol,https://github.com/psf/cachecontrol,True
aiosignal,https://github.com/aio-libs/aiosignal,True
sortedcontainers,https://github.com/grantjenks/python-sortedcontainers,True
bridgekeeper,https://github.com/excitedleigh/bridgekeeper,True
sphinxcontrib-yt,https://github.com/divi255/sphinxcontrib.youtube,True
wheel,https://github.com/pypa/wheel,True
jaraco-functools,https://github.com/jaraco/jaraco.functools,True
djangoql,https://github.com/ivelum/djangoql,True
grpc-google-iam-v1,https://github.com/googleapis/python-grpc-google-iam-v1,True
bump2version,https://github.com/c4urself/bump2version,True
django-localflavor,https://github.com/django/django-localflavor,True
pynliner,https://github.com/rennat/pynliner,True
resolvelib,https://github.com/sarugaku/resolvelib,True
factory-boy,https://github.com/FactoryBoy/factory_boy,True
futures,https://github.com/agronholm/pythonfutures,True
python-gnupg,https://github.com/vsajip/python-gnupg,True
edx-ace,https://github.com/openedx/edx-ace,True
voluptuous,https://github.com/alecthomas/voluptuous,True
pluggy,https://github.com/pytest-dev/pluggy,True
random2,No Github Link,False
pillow,https://github.com/python-pillow/Pillow,True
execnet,https://github.com/pytest-dev/execnet,True
decorator,https://github.com/micheles/decorator,True
lxml,https://github.com/lxml/lxml,True
types-cachetools,https://github.com/python/typeshed,True
async-generator,https://github.com/python-trio/async_generator,True
django-tables2,https://github.com/jieter/django-tables2,True
mongoengine,https://github.com/MongoEngine/mongoengine,True
jaraco-text,https://github.com/jaraco/jaraco.text,True
youtube-dl,https://github.com/ytdl-org/youtube-dl,True
flask,https://github.com/pallets/flask,True
lti-consumer-xblock,https://github.com/openedx/xblock-lti-consumer,True
regex,https://github.com/mrabarnett/mrab-regex,True
py,https://github.com/pytest-dev/py,True
cycler,https://github.com/matplotlib/cycler,True
pydantic-core,https://github.com/sponsors/samuelcolvin,True
filelock,https://github.com/tox-dev/py-filelock,True
click-didyoumean,https://github.com/click-contrib/click-didyoumean,True
yagocd,https://github.com/grundic/yagocd,True
pathspec,https://github.com/cpburnz/python-pathspec,True
ansible,https://github.com/ansible-community/ansible-build-data,True
imagesize,https://github.com/shibukawa/imagesize_py,True
ipaddress,https://github.com/phihag/ipaddress,True
